Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=768
epoch_num=10000
evaluator='f1-alpha-match-10'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=5
load=None
logname='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNNCRF'
momentum=0.9
opt='adam'
path_to_bert='xlnet-base-cased'
patience=100
report_fn='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.txt'
rnn_hidden_dim=500
rnn_type='LSTM'
save='targer-xlnet-base-capri-patence=100-rnn-hidden-dim=500-epochs=10000-lr_bert0.005-frozen=TRUE-lr-modelBiRNNCRF-evalf1-alpha-match-10.hdf5'
save_best=True
seed_num=42
special_bert=False
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-alpha-match-10-train | f1-alpha-match-10-dev | f1-alpha-match-10-test 
            152 |         611.76 |          54.61 |          52.33 |          55.28 
            153 |         577.57 |          54.92 |          52.15 |          55.05 
            154 |         597.55 |          54.64 |          52.91 |          55.56 
            155 |         599.44 |          55.62 |          53.20 |          56.41 
            156 |         615.28 |          56.02 |          52.59 |          55.06 
            157 |         676.26 |          55.44 |          53.35 |          55.48 
            158 |         599.22 |          55.87 |          53.71 |          55.80 
            159 |         602.62 |          55.26 |          53.25 |          55.09 
            160 |         578.10 |          55.72 |          53.88 |          55.79 
            161 |         599.03 |          55.79 |          53.15 |          55.82 
            162 |         692.18 |          55.59 |          52.61 |          55.39 
            163 |         612.35 |          54.86 |          53.36 |          55.42 
            164 |         604.23 |          55.76 |          52.38 |          55.86 
            165 |         562.73 |          56.61 |          52.60 |          56.49 
            166 |         628.42 |          56.79 |          53.26 |          55.85 
            167 |         636.21 |          55.93 |          53.64 |          55.84 
            168 |         664.42 |          56.92 |          53.61 |          55.92 
            169 |         627.40 |          55.95 |          53.25 |          55.68 
            170 |         554.89 |          56.45 |          53.99 |          56.11 
            171 |         628.04 |          56.16 |          54.03 |          56.02 
            172 |         644.28 |          56.47 |          53.46 |          56.02 
            173 |         568.19 |          57.34 |          53.66 |          56.82 
            174 |         641.62 |          56.76 |          53.25 |          55.74 
            175 |         599.25 |          56.53 |          53.10 |          55.78 
            176 |         614.61 |          56.27 |          53.60 |          55.98 
            177 |         648.46 |          56.12 |          53.14 |          56.36 
            178 |         660.77 |          57.35 |          54.73 |          57.46 
            179 |         631.02 |          57.41 |          54.20 |          56.69 
            180 |         632.83 |          57.14 |          53.98 |          57.32 
            181 |         593.46 |          57.10 |          53.63 |          56.59 
            182 |         613.17 |          56.92 |          53.57 |          56.16 
            183 |         610.29 |          57.26 |          53.75 |          56.33 
