Evaluation

batch_size=10
bert=False
bert_frozen=True
char_cnn_filter_num=30
char_embeddings_dim=25
char_window_size=3
check_for_lowercase=True
clip_grad=5
cross_fold_id=-1
cross_folds_num=-1
data_io='connl-ner-2003'
dataset_sort=False
dev='data/targer/targer_dev.txt'
dropout_ratio=0.5
elmo=False
elmo_options_fn='embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_options.json'
elmo_weights_fn='/home/vika/targer/embeddings/elmo_2x4096_512_2048cnn_2xhighway_5.5B_weights.hdf5'
emb_delimiter=' '
emb_dim=100
emb_fn='embeddings/glove.6B.100d.txt'
emb_load_all=False
embedding_dim=1024
epoch_num=10000
evaluator='f1-macro'
freeze_char_embeddings=False
freeze_word_embeddings=False
gpu=3
load=None
logname='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.log'
lr=0.005
lr_bert=0.005
lr_decay=0.05
min_epoch_num=50
model='BiRNN'
momentum=0.9
opt='adam'
path_to_bert='xlnet-large-cased'
patience=100
report_fn='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.txt'
rnn_hidden_dim=100
rnn_type='LSTM'
save='targer-xlnet-large-capri-patence=100-rnn-hidden-dim=100-epochs=10000-lr_bert0.005.hdf5'
save_best=True
seed_num=42
special_bert=True
splitter=' '
test='data/targer/targer_test.txt'
train='data/targer/targer_train.txt'
verbose=True
word_len=20
word_seq_indexer=None
xlnet=True

         epoch  |     train loss | f1-macro-train |   f1-macro-dev |  f1-macro-test 
            113 |          86.61 |          68.21 |          62.85 |          66.99 
            114 |          85.70 |          67.40 |          62.48 |          66.03 
            115 |          83.85 |          68.75 |          63.03 |          66.96 
            116 |          80.20 |          67.65 |          62.05 |          65.66 
            117 |          76.00 |          67.31 |          62.34 |          66.55 
            118 |          84.83 |          66.66 |          62.06 |          65.82 
            119 |          83.86 |          68.54 |          62.88 |          67.62 
            120 |          75.40 |          67.21 |          62.36 |          66.30 
            121 |          82.03 |          68.51 |          62.38 |          66.18 
            122 |          83.53 |          66.88 |          62.04 |          65.48 
            123 |          74.73 |          68.30 |          62.83 |          67.45 
            124 |          78.02 |          67.54 |          61.31 |          65.68 
            125 |          78.14 |          69.47 |          63.53 |          67.76 
            126 |          75.93 |          70.38 |          64.28 |          68.46 
            127 |          85.95 |          67.77 |          62.47 |          66.31 
            128 |          78.12 |          68.66 |          61.86 |          65.25 
            129 |          75.58 |          68.43 |          62.29 |          66.86 
            130 |          82.12 |          69.59 |          62.91 |          66.53 
            131 |          84.22 |          69.60 |          63.14 |          66.93 
            132 |          81.02 |          70.42 |          63.77 |          68.33 
            133 |          79.49 |          69.57 |          62.94 |          67.28 
            134 |          76.25 |          68.75 |          62.37 |          67.02 
            135 |          86.51 |          69.37 |          63.22 |          67.31 
            136 |          75.86 |          69.93 |          63.21 |          67.62 
            137 |          87.24 |          70.31 |          63.53 |          68.58 
            138 |          79.90 |          69.72 |          62.94 |          67.42 
            139 |          85.65 |          69.77 |          63.36 |          67.61 
            140 |          74.31 |          68.80 |          62.71 |          67.31 
            141 |          72.83 |          69.07 |          62.57 |          67.38 
            142 |          80.39 |          69.40 |          63.35 |          67.01 
            143 |          79.60 |          69.90 |          64.03 |          67.86 
            144 |          76.08 |          70.33 |          63.86 |          67.98 
            145 |          73.76 |          68.50 |          62.85 |          66.62 
            146 |          78.29 |          69.99 |          63.49 |          67.05 
            147 |          76.44 |          68.76 |          63.69 |          67.07 
